Node ID,Recommended nodes
73,[3488 1826 452 6279 520 5320 425 7151 7474 7540 1814 2297 25 286 1823]
74,[4385 2595 2758 5511 3815 6664 2569 7407 8943 6516 7413 7701 3350 831 9407]
75,[4704 8672 9798 4007 1161 6315 8971 8529 9047 9561 5594 1498 2910 7358 7871]
76,[9063 8200 9897 715 4941 9359 7922 7155 22 7958 408 6649 124 4702 2079]
77,[4736 3397 5351 3783 5964 5487 3536 9940 5076 1077 2101 631 153 9631 2911]
78,[8576 6659 7108 8966 9704 1483 716 8332 6127 6259 6811 5276 604 1917 9790]
79,[2497 8067 4196 8900 3972 6342 9672 270 7920 5553 8370 6387 5495 8669 1214]
80,[5606 9193 2890 7466 2412 9840 5105 9234 3029 54 3481 9657 2556 2045 8095]
81,[1315 6052 3622 6759 6219 4556 4941 7181 4942 9715 2101 1399 1594 1532 7358]
82,[1056 1953 707 2342 1928 11 4396 2161 1015 7193 4889 602 1050 1148 3037]
83,[2434 4227 5991 2569 9165 2158 816 8820 4693 8149 1814 8695 5273 475 5342]
84,[7872 4421 4645 3430 5063 4520 3529 8553 4428 9454 1843 602 7675 734 6718]
85,[9956 1797 1765 4902 489 874 5710 1200 2993 881 4500 4052 2775 1469 5695]
86,[6592 2241 5731 7076 5733 7594 8554 4268 2828 5681 2578 9178 6012 1405 1245]
87,[5505 6947 9772 6514 4530 5266 2195 4404 7445 8630 952 2777 8219 5692 6557]
88,[5603 6435 6598 1192 6668 3214 5616 4464 2577 7027 3827 8308 6458 8155 3197]
89,[704 5283 5352 425 1709 9647 1236 8660 5780 6518 4920 5305 4731 8252 5053]
90,[7616 5857 611 7045 8838 6569 908 6988 9582 1262 6255 1208 6684 3900 8382]
91,[9730 5699 3434 9898 8300 2540 3087 4143 5871 4018 7316 9366 7353 5881 5659]
92,[2944 9346 2726 8615 5256 7753 8076 4178 5589 7126 9112 539 7452 30 6655]
93,[1829 1894 6310 6919 8874 8876 5709 6000 2099 9364 8820 4888 3515 1693 7294]
94,[1377 8674 4268 2125 4558 8847 2737 6002 819 3188 7733 2872 4473 8443 255]
95,[8261 3493 5609 5481 7308 6160 529 8211 2324 8117 9974 9595 6108 6013 5086]
96,[7236 3300 9957 7719 6065 3473 177 787 1235 9784 7066 8250 7388 3677 414]
97,[9729 9985 930 35 9707 1484 45 3149 8846 947 4057 2681 1914 91 5148]
98,[6882 5252 1385 3466 8046 9422 6767 3951 4560 7994 7324 4029 5789 4959 1887]
99,[7296 96 3169 2984 9865 3497 1642 8490 1770 7437 2225 5782 9624 8729 5821]
100,[163 1123 8389 1257 9866 6028 4879 4018 3317 8086 3863 7740 5533 2878 3103]
